Date,Timestamp,Foot_Count
2024-12-01,00:00,4
2024-12-01,00:02,1
2024-12-01,00:04,1
2024-12-01,00:06,3
2024-12-01,00:08,5
2024-12-01,00:10,6
2024-12-01,00:12,10
2024-12-01,00:14,9
2024-12-01,00:16,11
2024-12-01,00:18,11
2024-12-01,00:20,11
2024-12-01,00:22,10
2024-12-01,00:24,8
2024-12-01,00:26,8
2024-12-01,00:28,9
2024-12-01,00:30,11
2024-12-01,00:32,14
2024-12-01,00:34,18
2024-12-01,00:36,17
2024-12-01,00:38,17
2024-12-01,00:40,19
2024-12-01,00:42,16
2024-12-01,00:44,17
2024-12-01,00:46,18
2024-12-01,00:48,18
2024-12-01,00:50,17
2024-12-01,00:52,16
2024-12-01,00:54,16
2024-12-01,00:56,16
2024-12-01,00:58,15
2024-12-01,01:00,14
2024-12-01,01:02,15
2024-12-01,01:04,19
2024-12-01,01:06,19
2024-12-01,01:08,17
2024-12-01,01:10,17
2024-12-01,01:12,16
2024-12-01,01:14,18
2024-12-01,01:16,15
2024-12-01,01:18,20
2024-12-01,01:20,19
2024-12-01,01:22,23
2024-12-01,01:24,24
2024-12-01,01:26,22
2024-12-01,01:28,22
2024-12-01,01:30,21
2024-12-01,01:32,20
2024-12-01,01:34,19
2024-12-01,01:36,22
2024-12-01,01:38,21
2024-12-01,01:40,22
2024-12-01,01:42,19
2024-12-01,01:44,19
2024-12-01,01:46,19
2024-12-01,01:48,19
2024-12-01,01:50,22
2024-12-01,01:52,20
2024-12-01,01:54,19
2024-12-01,01:56,22
2024-12-01,01:58,23
2024-12-01,02:00,21
2024-12-01,02:02,19
2024-12-01,02:04,20
2024-12-01,02:06,21
2024-12-01,02:08,20
2024-12-01,02:10,21
2024-12-01,02:12,23
2024-12-01,02:14,24
2024-12-01,02:16,30
2024-12-01,02:18,32
2024-12-01,02:20,29
2024-12-01,02:22,28
2024-12-01,02:24,31
2024-12-01,02:26,28
2024-12-01,02:28,28
2024-12-01,02:30,30
2024-12-01,02:32,29
2024-12-01,02:34,34
2024-12-01,02:36,33
2024-12-01,02:38,32
2024-12-01,02:40,33
2024-12-01,02:42,33
2024-12-01,02:44,31
2024-12-01,02:46,32
2024-12-01,02:48,32
2024-12-01,02:50,33
2024-12-01,02:52,30
2024-12-01,02:54,31
2024-12-01,02:56,30
2024-12-01,02:58,31
2024-12-01,03:00,33
2024-12-01,03:02,33
2024-12-01,03:04,31
2024-12-01,03:06,29
2024-12-01,03:08,35
2024-12-01,03:10,39
2024-12-01,03:12,40
2024-12-01,03:14,40
2024-12-01,03:16,41
2024-12-01,03:18,40
2024-12-01,03:20,43
2024-12-01,03:22,43
2024-12-01,03:24,46
2024-12-01,03:26,45
2024-12-01,03:28,48
2024-12-01,03:30,48
2024-12-01,03:32,48
2024-12-01,03:34,50
2024-12-01,03:36,49
2024-12-01,03:38,52
2024-12-01,03:40,52
2024-12-01,03:42,54
2024-12-01,03:44,55
2024-12-01,03:46,52
2024-12-01,03:48,49
2024-12-01,03:50,49
2024-12-01,03:52,49
2024-12-01,03:54,47
2024-12-01,03:56,49
2024-12-01,03:58,47
2024-12-01,04:00,46
2024-12-01,04:02,48
2024-12-01,04:04,48
2024-12-01,04:06,48
2024-12-01,04:08,46
2024-12-01,04:10,47
2024-12-01,04:12,45
2024-12-01,04:14,45
2024-12-01,04:16,46
2024-12-01,04:18,46
2024-12-01,04:20,47
2024-12-01,04:22,47
2024-12-01,04:24,47
2024-12-01,04:26,49
2024-12-01,04:28,50
2024-12-01,04:30,50
2024-12-01,04:32,49
2024-12-01,04:34,48
2024-12-01,04:36,52
2024-12-01,04:38,53
2024-12-01,04:40,55
2024-12-01,04:42,53
2024-12-01,04:44,56
2024-12-01,04:46,53
2024-12-01,04:48,54
2024-12-01,04:50,57
2024-12-01,04:52,55
2024-12-01,04:54,55
2024-12-01,04:56,55
2024-12-01,04:58,52
2024-12-01,05:00,53
