Timestamp,Date,Foot_Count
08:00,2024-12-01,2
08:02,2024-12-01,2
08:04,2024-12-01,3
08:06,2024-12-01,3
08:08,2024-12-01,3
08:10,2024-12-01,4
08:12,2024-12-01,5
08:14,2024-12-01,6
08:16,2024-12-01,6
08:18,2024-12-01,7
08:20,2024-12-01,6
08:22,2024-12-01,7
08:24,2024-12-01,7
08:26,2024-12-01,8
08:28,2024-12-01,8
08:30,2024-12-01,8
08:32,2024-12-01,10
08:34,2024-12-01,12
08:36,2024-12-01,12
08:38,2024-12-01,13
08:40,2024-12-01,13
08:42,2024-12-01,14
08:44,2024-12-01,15
08:46,2024-12-01,16
08:48,2024-12-01,16
08:50,2024-12-01,16
08:52,2024-12-01,17
08:54,2024-12-01,18
08:56,2024-12-01,19
08:58,2024-12-01,20
09:00,2024-12-01,21
09:02,2024-12-01,21
09:04,2024-12-01,23
09:06,2024-12-01,24
09:08,2024-12-01,25
09:10,2024-12-01,25
09:12,2024-12-01,26
09:14,2024-12-01,27
09:16,2024-12-01,27
09:18,2024-12-01,28
09:20,2024-12-01,29
09:22,2024-12-01,30
09:24,2024-12-01,30
09:26,2024-12-01,31
09:28,2024-12-01,32
09:30,2024-12-01,34
09:32,2024-12-01,35
09:34,2024-12-01,36
09:36,2024-12-01,37
09:38,2024-12-01,39
09:40,2024-12-01,39
09:42,2024-12-01,40
09:44,2024-12-01,42
09:46,2024-12-01,42
09:48,2024-12-01,43
09:50,2024-12-01,44
09:52,2024-12-01,45
09:54,2024-12-01,44
09:56,2024-12-01,46
09:58,2024-12-01,46
10:00,2024-12-01,46
10:02,2024-12-01,46
10:04,2024-12-01,47
10:06,2024-12-01,48
10:08,2024-12-01,49
10:10,2024-12-01,48
10:12,2024-12-01,49
10:14,2024-12-01,49
10:16,2024-12-01,51
10:18,2024-12-01,52
10:20,2024-12-01,52
10:22,2024-12-01,53
10:24,2024-12-01,54
10:26,2024-12-01,55
10:28,2024-12-01,57
10:30,2024-12-01,56
10:32,2024-12-01,57
10:34,2024-12-01,58
10:36,2024-12-01,60
10:38,2024-12-01,59
10:40,2024-12-01,61
10:42,2024-12-01,61
10:44,2024-12-01,62
10:46,2024-12-01,62
10:48,2024-12-01,63
10:50,2024-12-01,64
10:52,2024-12-01,66
10:54,2024-12-01,66
10:56,2024-12-01,66
10:58,2024-12-01,67
11:00,2024-12-01,66
11:02,2024-12-01,68
11:04,2024-12-01,69
11:06,2024-12-01,70
11:08,2024-12-01,70
11:10,2024-12-01,71
11:12,2024-12-01,72
11:14,2024-12-01,73
11:16,2024-12-01,74
11:18,2024-12-01,75
11:20,2024-12-01,76
11:22,2024-12-01,77
11:24,2024-12-01,78
11:26,2024-12-01,78
11:28,2024-12-01,80
11:30,2024-12-01,80
11:32,2024-12-01,80
11:34,2024-12-01,82
11:36,2024-12-01,83
11:38,2024-12-01,85
11:40,2024-12-01,86
11:42,2024-12-01,87
11:44,2024-12-01,88
11:46,2024-12-01,89
11:48,2024-12-01,90
11:50,2024-12-01,91
11:52,2024-12-01,92
11:54,2024-12-01,94
11:56,2024-12-01,93
11:58,2024-12-01,94
12:00,2024-12-01,95
12:02,2024-12-01,96
12:04,2024-12-01,95
12:06,2024-12-01,97
12:08,2024-12-01,97
12:10,2024-12-01,98
12:12,2024-12-01,98
12:14,2024-12-01,99
12:16,2024-12-01,99
12:18,2024-12-01,99
12:20,2024-12-01,100
12:22,2024-12-01,102
12:24,2024-12-01,103
12:26,2024-12-01,105
12:28,2024-12-01,105
12:30,2024-12-01,107
12:32,2024-12-01,107
12:34,2024-12-01,109
12:36,2024-12-01,110
12:38,2024-12-01,111
12:40,2024-12-01,111
12:42,2024-12-01,112
12:44,2024-12-01,113
12:46,2024-12-01,114
12:48,2024-12-01,115
12:50,2024-12-01,116
12:52,2024-12-01,117
12:54,2024-12-01,118
12:56,2024-12-01,120
12:58,2024-12-01,120
13:00,2024-12-01,120
13:02,2024-12-01,120
13:04,2024-12-01,121
13:06,2024-12-01,121
13:08,2024-12-01,121
13:10,2024-12-01,122
13:12,2024-12-01,122
13:14,2024-12-01,123
13:16,2024-12-01,125
13:18,2024-12-01,126
13:20,2024-12-01,127
13:22,2024-12-01,128
13:24,2024-12-01,130
13:26,2024-12-01,131
13:28,2024-12-01,131
13:30,2024-12-01,132
13:32,2024-12-01,133
13:34,2024-12-01,133
13:36,2024-12-01,135
13:38,2024-12-01,136
13:40,2024-12-01,137
13:42,2024-12-01,137
13:44,2024-12-01,138
13:46,2024-12-01,139
13:48,2024-12-01,139
13:50,2024-12-01,140
13:52,2024-12-01,141
13:54,2024-12-01,142
13:56,2024-12-01,142
13:58,2024-12-01,143
14:00,2024-12-01,144
14:02,2024-12-01,143
14:04,2024-12-01,143
14:06,2024-12-01,144
14:08,2024-12-01,144
14:10,2024-12-01,143
14:12,2024-12-01,143
14:14,2024-12-01,144
14:16,2024-12-01,145
14:18,2024-12-01,145
14:20,2024-12-01,146
14:22,2024-12-01,148
14:24,2024-12-01,148
14:26,2024-12-01,148
14:28,2024-12-01,149
14:30,2024-12-01,150
14:32,2024-12-01,151
14:34,2024-12-01,152
14:36,2024-12-01,152
14:38,2024-12-01,152
14:40,2024-12-01,153
14:42,2024-12-01,152
14:44,2024-12-01,154
14:46,2024-12-01,156
14:48,2024-12-01,156
14:50,2024-12-01,155
14:52,2024-12-01,156
14:54,2024-12-01,157
14:56,2024-12-01,157
14:58,2024-12-01,159
15:00,2024-12-01,159
15:02,2024-12-01,160
15:04,2024-12-01,160
15:06,2024-12-01,161
15:08,2024-12-01,161
15:10,2024-12-01,162
15:12,2024-12-01,162
15:14,2024-12-01,163
15:16,2024-12-01,164
15:18,2024-12-01,163
15:20,2024-12-01,164
15:22,2024-12-01,166
15:24,2024-12-01,166
15:26,2024-12-01,165
15:28,2024-12-01,166
15:30,2024-12-01,167
15:32,2024-12-01,168
15:34,2024-12-01,168
15:36,2024-12-01,169
15:38,2024-12-01,170
15:40,2024-12-01,171
15:42,2024-12-01,172
15:44,2024-12-01,173
15:46,2024-12-01,173
15:48,2024-12-01,173
15:50,2024-12-01,175
15:52,2024-12-01,176
15:54,2024-12-01,176
15:56,2024-12-01,176
15:58,2024-12-01,178
16:00,2024-12-01,180
16:02,2024-12-01,182
16:04,2024-12-01,182
16:06,2024-12-01,183
16:08,2024-12-01,184
16:10,2024-12-01,184
16:12,2024-12-01,185
16:14,2024-12-01,187
16:16,2024-12-01,188
16:18,2024-12-01,187
16:20,2024-12-01,189
16:22,2024-12-01,190
16:24,2024-12-01,189
16:26,2024-12-01,189
16:28,2024-12-01,190
16:30,2024-12-01,191
16:32,2024-12-01,192
16:34,2024-12-01,193
16:36,2024-12-01,194
16:38,2024-12-01,194
16:40,2024-12-01,195
16:42,2024-12-01,196
16:44,2024-12-01,195
16:46,2024-12-01,196
16:48,2024-12-01,198
16:50,2024-12-01,198
16:52,2024-12-01,199
16:54,2024-12-01,199
16:56,2024-12-01,201
16:58,2024-12-01,201
17:00,2024-12-01,201
17:02,2024-12-01,202
17:04,2024-12-01,203
17:06,2024-12-01,204
17:08,2024-12-01,204
17:10,2024-12-01,204
17:12,2024-12-01,205
17:14,2024-12-01,204
17:16,2024-12-01,205
17:18,2024-12-01,205
17:20,2024-12-01,207
17:22,2024-12-01,209
17:24,2024-12-01,209
17:26,2024-12-01,209
17:28,2024-12-01,210
17:30,2024-12-01,210
17:32,2024-12-01,210
17:34,2024-12-01,211
17:36,2024-12-01,213
17:38,2024-12-01,213
17:40,2024-12-01,214
17:42,2024-12-01,216
17:44,2024-12-01,217
17:46,2024-12-01,216
17:48,2024-12-01,217
17:50,2024-12-01,219
17:52,2024-12-01,220
17:54,2024-12-01,219
17:56,2024-12-01,220
17:58,2024-12-01,221
18:00,2024-12-01,220
18:02,2024-12-01,219
18:04,2024-12-01,219
18:06,2024-12-01,220
18:08,2024-12-01,221
18:10,2024-12-01,222
18:12,2024-12-01,221
18:14,2024-12-01,223
18:16,2024-12-01,224
